Name,SMILES,Score
NCGC00451108-01,COc1ccc(cn1)C(=O)N2CCC(CC2)c3n[nH]c(=O)n3Cc4ccc(cc4)F,-16.1033
NCGC00410954-01,CN(c1ccccc1)c2ccc3nnc(n3n2)c4cc(ccn4)C(=O)N5CCCCC5,-16.1009
NCGC00477180-01,c1ccc2c(c1)[C@]3(CC[N@@](C3)[S@@+](=O)(c4cccc(c4)C(F)(F)F)[O-])OC(=O)N2,-16.0936
NCGC00478199-01,CCC[N@@]1CCC2(CCN(CC2)C(=O)c3ccccc3F)Oc4c1cccc4,-16.0855
NCGC00464245-01,Cc1c[nH+]c(n1CC2CCN(CC2)[S@+](=O)(Cc3ccccc3F)[O-])c4ccccc4,-16.0838
NCGC00395507-01,c1ccc(cc1)CN2c3ccccc3O[C@H]4C[C@@H](C2=O)[N@@H+](C4)Cc5ccc(cc5)C#N,-16.0776
NCGC00422991-01,c1c(ccc(c1)F)CC2CCN(CC2)c3nc(nc(c3)[C@H]4C[C@H](C4)O)N,-16.0762
NCGC00471901-01,c1cc(ccc1C#N)C(=O)N2C[C@@H](C3(C2)CCOCC3)C(=O)NCCc4ccncc4,-16.0713
NCGC00433754-01,CCn1ccc2c(c1=O)c(c(s2)C)C(=O)N3CCC(CC3)Cc4ccccc4,-16.0582
NCGC00464727-01,Cc1cccc(c1)C(=O)N2C[C@H](C[C@H]2C(=O)N3CCCC3)Oc4cccnc4,-16.0581
NCGC00426570-01,CCCN1[C@H](c2ccccc2CC1=O)C(=O)N3CCN(CC3)c4ccccc4,-16.0563
NCGC00408998-01,c1ccc(cc1)CN2Cc3c(c(n[nH]3)c4ccccc4Oc5ccccc5)CC2=O,-16.0553
NCGC00428426-01,Cc1ccccc1CC[C@@H]2CCCN(C2)C(=O)CCc3cnccn3,-16.0449
NCGC00464555-01,COc1ccc(cc1F)C(=O)N2C[C@H](C[C@H]2C(=O)N3CCCC3)Oc4ccccc4,-16.0341
NCGC00464557-01,c1ccc(cc1)O[C@H]2C[C@H](N(C2)C(=O)c3cccc(c3)C#N)C(=O)N4CCCC4,-16.0329
NCGC00421108-01,c1ccc2c(c1)N(C(=O)[C@@H]3C[C@H](O2)C[N@H+]3Cc4ccc(cc4)C(F)(F)F)Cc5cccnc5,-16.0277
NCGC00442093-01,Cc1ccc(cc1)Cc2ccccc2C(=O)N3C[C@H]([C@H](C3)CO)C[N@H+](C)CCO,-16.0106
NCGC00464415-01,COc1ccc(cc1F)C(=O)N2C[C@H](C[C@H]2C(=O)N3CCOCC3)Oc4ccccc4,-16.0015
NCGC00469745-01,Cc1c[nH+]c(n1Cc2ccc(cc2)F)CC3CCN(CC3)C(=O)[C@@H]4CCOC4,-15.9926
NCGC00433193-01,c1ccc(cc1)[S@+](=O)([N@@]2CCC[C@@H](C2)Cn3c4c(cccn4)nc3C5CC5)[O-],-15.988
NCGC00417356-01,Cc1nnc(n1Cc2ccccc2)c3cc(ccn3)c4ccc(cc4)CO,-15.9762
NCGC00468063-01,COC[C@@H]1CN(C[C@H]1c2ccncc2)C(=O)Cc3ccc(cc3)F,-15.9724
NCGC00433287-01,Cc1ccc(cc1)[S@+](=O)([N@@]2CCC[C@@H](C2)Cn3c4c(cccn4)nc3C5CC5)[O-],-15.9706
