Name,SMILES,Score
NCGC00373624-01,c1cc(ccc1C[NH+]2CCC(CC2)N3CCNC3=O)C(F)(F)F,-12.7379
NCGC00373614-01,c1ccc2c(c1)CN(C2=O)C3CC[NH+](CC3)CC4CCCCC4,-13.7969
NCGC00373599-01,c1cc(sc1)[S@+](=O)(N2CCC(CC2)N3CCNC3=O)[O-],-11.2477
NCGC00373626-01,Cn1cccc1C[NH+]2CCC(CC2)N3CCNC3=O,-10.5646
NCGC00373625-01,c1ccc2c(c1)cccc2C[NH+]3CCC(CC3)N4CCNC4=O,-11.3005
NCGC00373627-01,Cn1c(ccn1)C[NH+]2CCC(CC2)N3CCNC3=O,-9.8413
NCGC00373628-01,c1cscc1C[NH+]2CCC(CC2)N3CCNC3=O,-10.5005
NCGC00373629-01,c1c(scn1)C[NH+]2CCC(CC2)N3CCNC3=O,-10.3128
NCGC00373632-01,Cn1c(ccn1)C[NH+]2CCC(CC2)N3CCOCC3=O,-10.1285
NCGC00373616-01,c1ccc(cc1)[S@+](=O)(N2CCC(CC2)N3CCOCC3=O)[O-],-13.7445
NCGC00373634-01,COc1ccc(cc1)C[NH+]2CC(C2)[N@@]3CCc4c3cccc4,-13.6167
